hex,reg_number,flag,lat,lng,alt,dir,speed,flight_number,flight_icao,flight_iata,dep_icao,dep_iata,arr_icao,arr_iata,airline_icao,airline_iata,aircraft_icao,updated,status
343141,EC-KOH,ES,45.682524,-3.858642,9781,184.9,833,3693,IBS3693,I23693,EGCC,MAN,LEMD,MAD,IBE,IB,A320,1706705158,en-route
343147,EC-KOM,ES,34.666887,-25.020265,11427,239.9,910,301,PUE301,PU301,LEMD,MAD,SPJC,LIM,PUE,PU,A332,1706705158,en-route
344297,EC-LQX,ES,38.958772,0.619378,3332,112,521,6025,AEA6025,UX6025,LEMD,MAD,LEIB,IBZ,AEA,UX,B738,1706705158,en-route
344305,EC-LUK,ES,40.559524,-4.821824,7845,272.9,793,6165,IBE6165,IB6165,LEMD,MAD,KBOS,BOS,IBE,IB,A333,1706705158,en-route
344498,EC-LYM,ES,36.771535,-5.911704,11289,15.9,779,3621,IBS3621,I23621,GMMX,RAK,LEMD,MAD,IBE,IB,A320,1706705158,en-route
344648,EC-MDK,ES,40.721388,-2.269701,6093,260.7,675,3477,IBE3477,IB3477,LSZH,ZRH,LEMD,MAD,IBE,IB,A320,1706705158,en-route
345116,EC-MJR,ES,47.474221,2.322242,8272,181.6,863,8007,VLG8007,VY8007,LFPO,ORY,LEBL,BCN,VLG,VY,A321,1706705158,en-route
345388,EC-MPA,ES,40.442535,-2.417161,5094,252.7,677,8767,ANE8767,YW8767,LIMF,TRN,LEMD,MAD,IBE,IB,CRJX,1706705158,en-route
345597,EC-MSL,ES,38.490152,-0.484265,3972,331.8,631,8861,ANE8861,YW8861,LEAL,ALC,LEMD,MAD,IBE,IB,CRJX,1706705158,en-route
346146,EC-NBE,ES,39.472543,-10.638962,12440,83.9,864,6650,IBE6650,IB6650,SPJC,LIM,LEMD,MAD,IBE,IB,A359,1706705158,en-route
346386,EC-NGT,ES,36.69405,-7.859051,12432,49,879,6844,IBE6844,IB6844,SAEZ,EZE,LEMD,MAD,IBE,IB,A359,1706705158,en-route
346555,EC-NLP,ES,40.65872,-6.56101,9781,276.8,882,6403,IBE6403,IB6403,LEMD,MAD,MMMX,MEX,IBE,IB,A359,1706705158,en-route
347219,EC-NTA,ES,45.697066,10.883244,11114,79.3,866,3278,IBE3278,IB3278,LEMD,MAD,LHBP,BUD,IBE,IB,A20N,1706705158,en-route
347388,EC-NXE,ES,39.914589,-5.064196,9933,85,836,6588,IBE6588,IB6588,SKBO,BOG,LEMD,MAD,IBE,IB,A359,1706705158,en-route
347518,EC-OAV,ES,40.951662,-4.094228,5064,297.8,711,6659,IBE6659,IB6659,LEMD,MAD,SPJC,LIM,IBE,IB,A359,1706705158,en-route
396445,F-GZCF,FR,46.835839,2.775437,9453,163.6,908,822,AFR822,AF822,LFPG,CDG,FGSL,SSG,AFR,AF,A332,1706705158,en-route
396448,F-GZCI,FR,40.569504,-26.14921,12074,244.3,895,498,AFR498,AF498,LFPG,CDG,TNCM,SXM,AFR,AF,A332,1706705158,en-route
398575,F-HBLV,FR,48.259286,4.545594,7319,298.6,658,1037,AFR1037,AF1037,LJLJ,LJU,LFPG,CDG,AFR,AF,E190,1706705158,en-route
406947,G-STBG,UK,33.758802,44.717105,11099,359.6,926,60,BAW60,BA60,VRMM,MLE,EGLL,LHR,BAW,BA,B77W,1706705158,en-route
407371,G-VNYL,UK,42.239091,50.097621,11442,235.2,865,251,VIR251,VS251,ZSPD,PVG,EGLL,LHR,VIR,VS,B789,1706705158,en-route
407799,G-XWBC,UK,37.035542,18.952728,11328,123.7,961,65,BAW65,BA65,EGLL,LHR,HKJK,NBO,BAW,BA,A35K,1706705158,en-route
407898,G-ZBLA,UK,35.335335,0.50191,11785,164.4,883,75,BAW75,BA75,EGLL,LHR,DNMM,LOS,BAW,BA,B78X,1706705158,en-route
407959,G-UZLK,UK,46.97649,13.489905,11373,138.4,855,3165,EZY3165,U23165,EGPF,GLA,HEGN,HRG,EZY,U2,A20N,1706705158,en-route
407994,G-STBO,UK,64.227346,-17.684172,9659,310,809,283,BAW283,BA283,EGLL,LHR,KLAX,LAX,BAW,BA,B77W,1706705158,en-route
424330,VP-BHE,AZ,40.926915,49.68937,5529,281.4,638,8233,AHY8233,J28233,UBBB,GYD,UGTB,TBS,AHY,J2,E190,1706705158,en-route
424455,VQ-BBL,TJ,38.554904,67.823228,5331,94.3,684,334,SMR334,SZ334,UUWW,VKO,UTDD,DYU,SMR,SZ,B739,1706705158,en-route
440002,OE-LPA,AT,45.196563,25.540416,10169,123.2,882,75,AUA75,OS75,LOWW,VIE,ZSPD,PVG,AUA,OS,B772,1706705158,en-route
440606,OE-LZC,AT,47.774592,10.42526,8729,266.1,721,569,AUA569,OS569,LOWW,VIE,LSZH,ZRH,AUA,OS,A320,1706705158,en-route
440609,OE-LZF,AT,48.429261,15.629703,5201,126.2,693,208,AUA208,OS208,EDDF,FRA,LOWW,VIE,AUA,OS,A320,1706705158,en-route
440824,OE-LWH,AT,51.134003,20.226365,6702,35,692,623,AUA623,OS623,LOWW,VIE,EPWA,WAW,AUA,OS,E195,1706705158,en-route
452086,LZ-BHL,IQ,45.922441,22.430596,10177,132.4,845,496,UBD496,UD496,EDDV,HAJ,ORER,EBL,UBD,UD,A320,1706705158,en-route
479301,LN-WEC,FI,60.321041,24.967544,0,137.8,0,937,FIN937,AY937,EFHK,HEL,ENTC,TOS,FIN,AY,E290,1706705158,landed
484165,PH-BXM,NL,46.928149,11.011281,11693,332.8,790,1602,KLM1602,KL1602,LIRF,FCO,EHAM,AMS,KLM,KL,B738,1706705158,en-route
484186,PH-HZL,NL,54.96318,-1.431897,1229,39.3,553,959,KLM959,KL959,EHAM,AMS,EGNT,NCL,KLM,KL,B738,1706705158,en-route
484416,PH-BQM,NL,40.087733,-26.207962,10855,237,953,755,KLM755,KL755,SEQM,UIO,SEGU,GYE,KLM,KL,B772,1706705158,en-route
484703,PH-NDK,NL,44.594349,-74.458206,12341,83.4,887,1014,XRO1014,,KVNY,VNY,KBGR,BGR,XRO,,F900,1706705158,en-route
485000,PH-BVK,NL,43.639115,16.075388,10223,132.3,923,565,KLM565,KL565,EHAM,AMS,HKJK,NBO,KLM,KL,B77W,1706705158,en-route
485009,PH-HSI,NL,36.10887,-9.927236,11251,30.2,850,6366,TRA6366,HV6366,GCLP,LPA,EHEH,EIN,TRA,HV,B738,1706705158,en-route
485341,PH-BHG,NL,56.801552,1.239709,10428,340.6,859,677,KLM677,KL677,EHAM,AMS,CYYC,YYC,KLM,KL,B789,1706705158,en-route
485342,PH-BHH,NL,51.166844,10.411986,10200,116.3,893,867,KLM867,KL867,EHAM,AMS,RJBB,KIX,KLM,KL,B789,1706705158,en-route
485345,PH-BHM,NL,53.782165,-7.306811,12074,103.2,973,686,KLM686,KL686,MMMX,MEX,EHAM,AMS,KLM,KL,B789,1706705158,en-route
485788,PH-BHP,NL,41.245107,41.543604,10314,260.9,978,898,KLM898,KL898,ZBAA,PEK,EHAM,AMS,KLM,KL,B789,1706705158,en-route
485876,PH-EXZ,NL,56.822439,9.950123,1892,36.4,566,1333,KLM1333,KL1333,EHAM,AMS,EKYT,AAL,KLM,KL,E75L,1706705158,en-route
495146,CS-TJF,PT,41.16315,0.897086,10924,261.6,803,831,TAP831,TP831,LIRF,FCO,LPPT,LIS,TAP,TP,A321,1706705158,en-route
495246,CS-TRF,PT,39.08862,-28.051599,1061,70.8,337,7600,SAT7600,SP7600,LPLA,TER,LPGR,GRW,SAT,SP,DH8D,1706705158,en-route
495247,CS-TRG,PT,34.493728,-19.077382,7868,305,629,163,RZO163,S4163,LPMA,FNC,LPPD,PDL,RZO,S4,DH8D,1706705158,en-route
501024,ZA-MMK,AL,43.611796,12.300545,11739,293.8,759,2003,ABN2003,ZB2003,LATI,TIA,LIMC,MXP,ABN,ZB,A320,1706705158,en-route
511065,ES-ACC,SE,59.766117,19.994283,6428,258.4,713,709,SAS709,SK709,EFHK,HEL,ESSA,ARN,SAS,SK,CRJ9,1706705158,en-route
511170,ES-MBA,EE,28.421671,-13.864796,201,2.2,264,6522,MBU6522,DI6522,GCFV,FUE,GCLP,LPA,MBU,DI,A20N,1706705158,en-route
515309,EY-777,TJ,38.544042,68.595689,1762,89.3,405,216,SMR216,SZ216,UAAA,ALA,UTDD,DYU,SMR,SZ,B738,1706705158,en-route
600012,EK-SHC,AM,46.859538,51.738033,11008,9.6,709,776,SHS776,5G776,UDYZ,EVN,USPP,PEE,SHS,5G,B735,1706705158,en-route
600803,4K-AZ03,AZ,42.856948,28.455993,10665,94.6,758,5010,AHY5010,J25010,LSGG,GVA,UBBB,GYD,AHY,J2,A319,1706705158,en-route
680008,A5-JSW,BT,11.039409,99.792688,12631,155.4,747,540,DRK540,KB540,VEGT,GAU,WSSS,SIN,DRK,KB,A319,1706705158,en-route
683323,UP-B3733,KZ,40.563098,46.858395,10581,80.8,773,494,VSV494,DV494,LTFM,IST,UAAA,ALA,VSV,DV,B738,1706705158,en-route
702075,S2-AJA,BD,21.308394,87.728135,11754,47,893,338,UBG338,BS338,VRMM,MLE,VGHS,DAC,UBG,BS,B738,1706705158,en-route
704011,XY-ALO,MM,14.040516,100.036371,10931,299.5,750,402,MMA402,8M402,VDPP,PNH,VYYY,RGN,MMA,8M,E190,1706705158,en-route
704015,XY-ALT,MM,14.963226,98.634483,10695,112.7,912,350,MMA350,8M350,VYYY,RGN,VTBS,BKK,MMA,8M,A320,1706705158,en-route
706026,9K-AKF,KW,29.169302,48.224722,4048,123.9,715,615,KAC615,KU615,OKKK,KWI,OBBI,BAH,KAC,KU,A320,1706705158,en-route
706028,9K-AKH,KW,27.129862,50.798431,11152,139.2,971,673,KAC673,KU673,OKKK,KWI,OMDB,DXB,KAC,KU,A320,1706705158,en-route
706056,9K-AOC,KW,47.153853,19.835674,11366,122.2,889,104,KAC104,KU104,EGLL,LHR,OKKK,KWI,KAC,KU,B77W,1706705158,en-route
706067,9K-APG,KW,24.754802,57.109526,12166,293.3,662,412,KAC412,KU412,VTBS,BKK,OKKK,KWI,KAC,KU,A338,1706705158,en-route
706211,9K-CAP,KW,28.495347,47.48582,4711,72.2,742,212,JZR212,J9212,OEJN,JED,OKKK,KWI,JZR,J9,A320,1706705158,en-route
710105,HZ-AK27,SA,28.21988,75.54303,6352,90,740,758,SVA758,SV758,OEJN,JED,VIDP,DEL,SVA,SV,B77W,1706705158,en-route
710112,HZ-AK40,SA,39.57256,20.940301,10710,153.1,930,110,SVA110,SV110,EGLL,LHR,OERK,RUH,SVA,SV,B77W,1706705158,en-route
710121,HZ-AK43,SA,47.140062,9.095865,11709,287.8,853,121,SVA121,SV121,OERK,RUH,EGLL,LHR,SVA,SV,B77W,1706705158,en-route
710432,HZ-FAK,SA,24.796426,46.552724,10916,245.7,653,435,FAD435,F3435,OEDF,DMM,OEAB,AHB,FAD,F3,A320,1706705158,en-route
728678,YI-ASX,IQ,33.132641,44.463477,1160,231.2,431,216,IAW216,IA216,LTFM,IST,ORBI,BGW,IAW,IA,B38M,1706705158,en-route
728679,YI-ASY,IQ,31.757166,45.946564,8021,316.2,665,124,IAW124,IA124,OMDB,DXB,ORBI,BGW,IAW,IA,B38M,1706705158,en-route
738050,4X-EHA,IL,41.242886,-1.799195,8821,84.3,846,396,ELY396,LY396,LEMD,MAD,LLBG,TLV,ELY,LY,B739,1706705158,en-route
738051,4X-EHB,IL,38.110189,29.053192,10543,146.1,838,2372,ELY2372,LY2372,EDDB,BER,LLBG,TLV,ELY,LY,B739,1706705158,en-route
738054,4X-EHE,IL,39.839302,23.971174,10649,136.8,823,358,ELY358,LY358,EDDF,FRA,LLBG,TLV,ELY,LY,B739,1706705158,en-route
738055,4X-EHF,IL,37.471113,25.557065,10566,132.5,835,382,ELY382,LY382,LIMC,MXP,LLBG,TLV,ELY,LY,B739,1706705158,en-route
738060,4X-EKM,IL,35.524301,31.330948,11183,142.6,872,5102,ELY5102,LY5102,EPWA,WAW,LLBG,TLV,ELY,LY,B738,1706705158,en-route
738068,4X-EKI,IL,34.45012,31.148655,10566,128,897,362,ELY362,LY362,LOWW,VIE,LLBG,TLV,ELY,LY,B738,1706705158,en-route
738069,4X-EKO,IL,38.534032,14.616862,10863,113.8,839,394,ELY394,LY394,LEBL,BCN,LLBG,TLV,ELY,LY,B738,1706705158,en-route
740734,JY-AYT,JO,47.503216,4.998343,10070,322.1,778,117,RJA117,RJ117,OJAI,AMM,LFPG,CDG,RJA,RJ,A321,1706705158,en-route
740737,JY-AYW,JO,31.549496,37.974877,8882,258.2,643,611,RJA611,RJ611,OMDB,DXB,OJAI,AMM,RJA,RJ,A320,1706705158,en-route
740739,JY-AYY,JO,45.325611,5.737045,4063,277.9,541,103,RJA103,RJ103,OJAI,AMM,LFLL,LYS,RJA,RJ,A319,1706705158,en-route
740827,JY-BAG,JO,55.929381,10.840588,11640,318.5,738,263,RJA263,RJ263,OJAI,AMM,KORD,ORD,RJA,RJ,B788,1706705158,en-route
748016,OD-MRT,LB,41.074519,20.98509,10779,126.1,840,235,MEA235,ME235,LIMC,MXP,OLBA,BEY,MEA,ME,A320,1706705158,en-route
748018,OD-MRS,LB,44.131633,18.908628,10802,132.5,852,218,MEA218,ME218,EDDF,FRA,OLBA,BEY,MEA,ME,A320,1706705158,en-route
750048,9M-FYH,MY,5.091878,100.593939,3004,134.9,374,1441,FFM1441,FY1441,WMKP,PEN,WMSA,SZB,FFM,FY,AT75,1706705158,en-route
750148,9M-AFV,MY,1.183592,103.225348,11632,132.5,798,386,AXM386,AK386,WMKK,KUL,WIII,CGK,AXM,AK,A320,1706705158,en-route
750210,9M-MSA,MY,1.007235,101.818159,9964,348.7,841,722,MAS722,MH722,WIII,CGK,WMKK,KUL,MAS,MH,B738,1706705158,en-route
750229,9M-MLF,MY,5.543846,114.378393,12059,69.9,839,2854,FFM2854,FY2854,WMKP,PEN,WBKK,BKI,FFM,FY,B738,1706705158,en-route
750338,9M-XXR,MY,3.709316,102.269562,9689,265.5,768,303,XAX303,D7303,ZSHC,HGH,WMKK,KUL,XAX,D7,A333,1706705158,en-route
750419,9M-AGB,MY,4.72165,116.588477,11450,96.8,832,5740,AXM5740,AK5740,WMKK,KUL,WBKW,TWU,AXM,AK,A20N,1706705158,en-route
750422,9M-LRH,MY,-37.273985,136.689272,11350,100.7,928,195,MXD195,OD195,YPPH,PER,NZAA,AKL,MXD,OD,B38M,1706705158,en-route
750441,9M-AGH,MY,-1.960742,105.601137,11450,161.6,823,353,AXM353,AK353,WMKK,KUL,WIII,CGK,AXM,AK,A20N,1706705158,en-route
750480,9M-RAC,MY,9.165485,106.849798,10139,214.1,827,137,AXM137,AK137,VHHH,HKG,WMKK,KUL,AXM,AK,A320,1706705158,en-route
750485,9M-RAG,MY,2.136992,101.591796,3096,336.5,609,349,AXM349,AK349,WAHI,YIA,WMKK,KUL,AXM,AK,A320,1706705158,en-route
750525,9M-XXJ,MY,33.696185,125.718573,11861,191.2,745,507,XAX507,D7507,RKSI,ICN,WMKK,KUL,XAX,D7,A333,1706705158,en-route
750548,9M-XBI,MY,15.249505,78.356981,13141,117.4,969,701,XAX701,D7701,OEJN,JED,WMKK,KUL,XAX,D7,A333,1706705158,en-route
758307,RP-C9907,PH,14.34108,120.578319,1663,165.5,356,337,PAL337,PR337,ZSPD,PVG,RPLL,MNL,PAL,PR,A321,1706705158,en-route
758325,RP-C3279,PH,17.70179,119.157957,10779,146.8,853,237,CEB237,5J237,VHHH,HKG,RPVM,CEB,CEB,5J,A320,1706705158,en-route
758369,RP-C9914,PH,14.013686,109.626926,11069,270.5,794,732,PAL732,PR732,RPLL,MNL,VTBS,BKK,PAL,PR,A321,1706705158,en-route
758477,RP-C7283,PH,8.944876,124.271231,2837,182.4,469,6723,SRQ6723,DG6723,RPVM,CEB,RPMY,CGY,SRQ,DG,AT76,1706705158,en-route
758510,RP-C7285,PH,10.150011,123.835375,1099,357,372,6834,SRQ6834,DG6834,RPMD,DVO,RPVM,CEB,SRQ,DG,AT76,1706705158,en-route
758539,RP-C8964,PH,12.517268,119.496814,11442,25,865,502,APG502,Z2502,WBKK,BKI,RPLL,MNL,APG,Z2,A320,1706705158,en-route
758748,RP-C4157,PH,12.193383,123.72746,12135,152.5,800,973,CEB973,5J973,RPLL,MNL,RPMD,DVO,CEB,5J,A20N,1706705158,en-route
760918,AP-BHX,PK,26.890745,58.189186,11792,90.6,1137,840,PIA840,PK840,OEJN,JED,OPMT,MUX,PIA,PK,B772,1706705158,en-route
769105,9V-DHE,SG,35.814823,-107.726937,10588,262,877,7439,SIA7439,SQ7439,KCVG,CVG,PHNL,HNL,SIA,SQ,B77L,1706705158,en-route
778825,YK-BAE,SY,32.417354,43.62356,10215,110.5,1023,747,SAW747,6Q747,OSDI,DAM,OMSJ,SHJ,SAW,6Q,A320,1706705158,en-route
780022,B-2089,CN,55.149469,21.237315,9392,54.2,930,962,CCA962,CA962,EDDM,MUC,ZBAA,PEK,CCA,CA,B77W,1706705158,en-route
780457,B-1308,CN,12.138801,99.823725,10398,189.7,811,5093,CES5093,MU5093,ZPPP,KMG,VTSP,HKT,CES,MU,B738,1706705158,en-route
780479,B-5386,CN,23.772114,117.163045,8722,250.7,718,823,CXA823,MF823,ZSAM,XMN,WMKK,KUL,CXA,MF,B738,1706705158,en-route
780513,B-5429,CN,25.534058,116.643745,9941,53.8,1016,3553,CUH3553,UQ3553,ZGZJ,ZHA,ZSNB,NGB,CUH,UQ,B738,1706705158,en-route
780556,B-6558,CN,24.758427,115.138112,8531,24.3,905,5218,CES5218,MU5218,ZGGG,CAN,ZSHC,HGH,CES,MU,A320,1706705158,en-route
780627,B-6655,CN,21.955529,113.571236,8120,155.6,844,367,CSN367,CZ367,ZGGG,CAN,VVTS,SGN,CSN,CZ,A320,1706705158,en-route
780677,B-6697,CN,39.037108,115.893275,9186,254.2,762,8008,CSC8008,3U8008,ZYTL,DLC,ZUCK,CKG,CSC,3U,A320,1706705158,en-route
780730,B-8869,CN,35.14618,126.013743,10527,195.8,725,370,CSN370,CZ370,RKSI,ICN,ZSPD,PVG,CSN,CZ,A321,1706705158,en-route
780761,B-5583,CN,41.123111,116.821031,7899,3.3,802,1639,CCA1639,CA1639,ZBAA,PEK,ZYHB,HRB,CCA,CA,B738,1706705158,en-route
780831,B-6847,CN,25.542513,117.806471,6146,39.6,713,8227,CCA8227,CA8227,ZHHH,WUH,ZSAM,XMN,CCA,CA,A320,1706705158,en-route
780839,B-6856,CN,22.566477,113.159129,2075,196,470,9604,CSZ9604,ZH9604,ZYTX,SHE,ZGSZ,SZX,CSZ,ZH,A320,1706705158,en-route
780869,B-6883,CN,34.914876,136.224366,9339,256.4,668,146,CCA146,CA146,RJAA,NRT,ZSHC,HGH,CCA,CA,A321,1706705158,en-route
780894,B-5651,CN,26.049044,119.586354,7914,18.3,840,2115,CDG2115,SC2115,ZSAM,XMN,ZSHC,HGH,CDG,SC,B738,1706705158,en-route
781008,B-7899,CN,44.54144,3.031797,10017,55.3,930,908,CCA908,CA908,LEMD,MAD,ZBAA,PEK,CCA,CA,B789,1706705158,en-route
781024,B-8610,CN,39.642942,116.780752,7205,201.1,737,2228,UEA2228,EU2228,ZYCC,CGQ,ZBSJ,SJW,UEA,EU,A320,1706705158,en-route
781049,B-1532,CN,25.391329,119.110687,9354,47.5,924,6225,EPA6225,DZ6225,ZGSZ,SZX,ZSYW,YIW,EPA,DZ,B738,1706705158,en-route
781154,B-8992,CN,40.96323,116.843149,10588,28.9,861,6248,CSN6248,CZ6248,ZSOF,HFE,ZYHB,HRB,CSN,CZ,A321,1706705158,en-route
781157,B-8996,CN,23.357172,114.607397,6367,27.3,865,6274,CSN6274,CZ6274,ZSYN,YNZ,ZYHB,HRB,CSN,CZ,A321,1706705158,en-route
781230,B-8863,CN,24.190603,74.245446,12074,289.5,648,245,CES245,MU245,ZSPD,PVG,OMDB,DXB,CES,MU,A333,1706705158,en-route
781250,B-1003,CN,23.008479,116.138861,8927,230.2,682,1887,DKH1887,HO1887,ZSSS,SHA,ZGSZ,SZX,DKH,HO,A321,1706705158,en-route
781322,B-1052,CN,34.612,113.482987,2966,264.3,516,7522,GCR7522,GS7522,ZHCC,CGO,ZWWW,URC,GCR,GS,A320,1706705158,en-route
781324,B-1217,CN,39.589987,117.066291,6321,155.8,755,1593,CNM1593,CA1593,ZBAA,PEK,ZSYT,YNT,CCA,CA,B738,1706705158,en-route
781344,B-1081,CN,-14.122308,132.186788,11815,336.8,942,166,CCA166,CA166,YMML,MEL,ZBAA,PEK,CCA,CA,A359,1706705158,en-route
781417,B-1112,CN,58.158227,24.612109,10520,66.4,926,870,CSH870,FM870,LHBP,BUD,ZSPD,PVG,CSH,FM,B789,1706705158,en-route
781463,B-300Q,CN,56.60569,46.28773,10703,256.5,791,591,CES591,MU591,ZSPD,PVG,UUEE,SVO,CES,MU,A333,1706705158,en-route
781579,B-303Z,CN,39.64732,115.019288,11503,243.6,719,7074,CHH7074,HU7074,ZYHB,HRB,ZJHK,HAK,CHH,HU,A333,1706705158,en-route
781590,B-304K,CN,54.145634,14.990433,10703,27.4,738,490,CHH490,HU490,EDDB,BER,ZBAA,PEK,CHH,HU,A333,1706705158,en-route
781600,B-MCI,MO,25.434812,119.106979,7921,47.7,890,258,AMU258,NX258,VMMC,MFM,ZSWZ,WNZ,AMU,NX,A320,1706705158,en-route
781602,B-305X,CN,61.385787,25.067789,10733,236.9,865,261,CES261,MU261,ZSWZ,WNZ,LEMD,MAD,CES,MU,A359,1706705158,en-route
781644,B-209K,CN,23.208524,113.80396,11930,341.1,870,776,CCA776,CA776,WSSS,SIN,ZBAA,PEK,CCA,CA,B38M,1706705158,en-route
781704,B-20C6,CN,-26.015722,156.612563,11777,307.4,864,306,CSN306,CZ306,NZAA,AKL,ZGGG,CAN,CSN,CZ,B789,1706705158,en-route
781739,B-20CJ,CN,24.955015,71.763445,12067,288.2,664,8057,CSN8057,CZ8057,ZGGG,CAN,OMDB,DXB,CSN,CZ,B789,1706705158,en-route
781793,B-30AA,CN,26.533133,117.978295,11236,56.8,1054,8205,CSN8205,CZ8205,ZGSZ,SZX,ZSPD,PVG,CSN,CZ,A20N,1706705158,en-route
781794,B-30A8,CN,39.157578,116.811784,10649,102.2,925,6310,CSN6310,CZ6310,ZGSZ,SZX,ZYTX,SHE,CSN,CZ,A20N,1706705158,en-route
781855,B-30D3,CN,11.472675,100.076471,10421,224.3,813,8667,CQH8667,9C8667,ZSPD,PVG,VTSP,HKT,CQH,9C,A20N,1706705158,en-route
789204,B-LRX,HK,2.296029,103.877413,7213,357.2,790,636,CPA636,CX636,WSSS,SIN,VHHH,HKG,CPA,CX,A359,1706705158,en-route
789206,B-LEH,HK,33.265401,135.958664,11571,76.6,1099,622,HKE622,UO622,VHHH,HKG,RJTT,HND,HKE,UO,A321,1706705158,en-route
789214,B-LXB,HK,21.339802,114.628187,5514,337.7,584,104,CPA104,CX104,YMML,MEL,VHHH,HKG,CPA,CX,A35K,1706705158,en-route
789215,B-LXC,HK,47.696281,16.94683,12242,293.7,857,257,CPA257,CX257,VHHH,HKG,EGLL,LHR,CPA,CX,A35K,1706705158,en-route
789228,B-LEK,HK,34.240296,135.377944,9377,243.2,675,651,HKE651,UO651,RJAA,NRT,VHHH,HKG,HKE,UO,A321,1706705158,en-route
789229,B-LEL,HK,23.084568,118.761474,10992,238.5,685,871,HKE871,UO871,RJAA,NRT,VHHH,HKG,HKE,UO,A321,1706705158,en-route
789235,B-HNV,HK,22.322871,116.941568,9697,269.6,757,451,CPA451,CX451,RCTP,TPE,VHHH,HKG,CPA,CX,B773,1706705158,en-route
789241,B-LQD,HK,15.467311,120.40276,12090,152.4,877,111,CPA111,CX111,VHHH,HKG,YSSY,SYD,CPA,CX,A359,1706705158,en-route
789242,B-LQE,HK,59.092105,-114.833072,11747,112.3,1028,830,CPA830,CX830,VHHH,HKG,KJFK,JFK,CPA,CX,A359,1706705158,en-route
789246,B-LXN,HK,44.629354,19.590225,10787,117,904,288,CPA288,CX288,EDDF,FRA,VHHH,HKG,CPA,CX,A35K,1706705158,en-route
789254,B-KJA,CN,22.342787,117.512392,11640,246.4,688,323,HGB323,HB323,RJAA,NRT,VHHH,HKG,HGB,HB,B738,1706705158,en-route
789271,B-KKA,HK,22.256904,114.558094,3781,266.8,478,639,HKE639,UO639,RJFF,FUK,VHHH,HKG,HKE,UO,A21N,1706705158,en-route
800401,VT-SCH,IN,13.188622,77.815688,1366,269.4,262,607,AIC607,AI607,VABB,BOM,VOBL,BLR,AIC,AI,A319,1706705158,en-route
800520,VT-SCQ,IN,19.239868,73.222177,2501,94.5,444,856,AIC856,AI856,VIDP,DEL,VABB,BOM,AIC,AI,A319,1706705158,en-route
800543,VT-PPU,IN,27.428001,75.631512,7586,45.4,756,858,AIC858,AI858,VAPO,PNQ,VIDP,DEL,AIC,AI,A321,1706705158,en-route
800579,VT-PPV,IN,28.593525,76.848719,1442,102.5,340,434,AIC434,AI434,VABP,BHO,VIDP,DEL,AIC,AI,A321,1706705158,en-route
